top - 15:05:08 up 119 days,  4:17,  1 user,  load average: 1,63, 1,61, 1,
Tasks: 1134 total,   1 running, 1133 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,4 us,  5,1 sy,  0,0 ni, 85,3 id,  1,5 wa,  0,0 hi,  0,7 si,  
МиБ Mem :  31926,7 total,    590,5 free,  24176,4 used,   7159,8 buff/cac
МиБ Swap:   2048,0 total,      0,0 free,   2048,0 used.   5955,2 avail Me

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+
    221 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    222 root      20   0       0      0      0 S   0,0   0,0   0:00.00
    223 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    224 root      20   0       0      0      0 S   0,0   0,0   0:00.00
    225 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    226 root      20   0       0      0      0 S   0,0   0,0   0:00.00
    227 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    228 root      20   0       0      0      0 S   0,0   0,0   0:00.00
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    238 root       0 -20       0      0      0 I   0,0   0,0   5:34.05
    243 root       0 -20       0      0      0 I   0,0   0,0   5:27.50
    245 root       0 -20       0      0      0 I   0,0   0,0   5:11.84
    247 root       0 -20       0      0      0 I   0,0   0,0   5:45.73
    282 root      20   0       0      0      0 S   0,0   0,0  24:42.59
    283 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    373 root      20   0   27140   4040   1984 S   0,0   0,0 174:59.67
    501 root     -51   0       0      0      0 S   0,0   0,0   0:00.00
    561 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    615 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    625 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
    666 systemd+  20   0   14980   1940   1708 S   0,0   0,0 196:13.52
    667 systemd+  20   0   30304   3848   2924 S   0,0   0,0 551:21.26
    668 systemd+  20   0   89536   1916   1792 S   0,0   0,0   0:11.08
    781 root     -51   0       0      0      0 S   0,0   0,0   0:00.95
    782 root     -51   0       0      0      0 S   0,0   0,0   0:00.92
    783 root     -51   0       0      0      0 S   0,0   0,0   0:00.00
    790 root      20   0    2812    448    408 S   0,0   0,0   0:03.06
    793 avahi     20   0    8976   2820   1352 S   0,0   0,0 121:54.07
    794 message+  20   0   14648   5752   1772 S   0,0   0,0 503:10.02
    796 root      20   0  485912  12780   5480 S   0,0   0,0 377:31.55
    805 root      20   0   82780    692    588 S   0,0   0,0   7:46.60
    811 root      20   0   35812      0      0 S   0,0   0,0   0:00.06
    813 root      20   0  241692   6448   2700 S   0,0   0,0  16:58.81
    814 root      20   0  237776    404    260 S   0,0   0,0   0:00.03
    815 syslog    20   0  222808   3512   1208 S   0,0   0,0 117:56.64
    818 root      20   0  237832   1228    848 S   0,0   0,0  25:25.01
    819 root      20   0    6848   1028    912 S   0,0   0,0   0:20.64
    821 root      20   0  233984   1052    848 S   0,0   0,0   0:00.03
    823 root      20   0   48300   4000   3392 S   0,0   0,0  27:34.71
    824 root      20   0  124320     96      0 S   0,0   0,0  12:47.20
    828 root      20   0  393624   7448   4636 S   0,0   0,0 869:00.15
    836 root      20   0   16496     28      0 S   0,0   0,0   0:32.79
    854 avahi     20   0    7492      4      0 S   0,0   0,0   0:00.00
    906 root      20   0  317024   2928   2108 S   0,0   0,0  28:32.07
    918 epmd      20   0    9116   2284    144 S   0,0   0,0   1:47.84
    923 root      20   0  197136    764    648 S   0,0   0,0   6:28.91
    924 root      20   0  197852   1476   1316 S   0,0   0,0   7:11.16
    925 root      20   0  217468    436      4 S   0,0   0,0   6:32.32
    933 rabbitmq  20   0 2899784  36344   6844 S   0,0   0,1 340:04.54
    940 root      20   0    7952     24      0 S   0,0   0,0   0:00.00
    941 root      20   0    4980      0      0 S   0,0   0,0   0:00.00
    947 root      20   0  362268   6552   2164 S   0,0   0,0  10:22.24
    969 root      20   0  112924   3008      0 S   0,0   0,0   0:00.05
    971 root      20   0    9208    492      0 S   0,0   0,0   0:00.00
    989 root      20   0   15444     64      0 S   0,0   0,0   0:00.00
   1000 debian-+  20   0   42368   1744   1468 S   0,0   0,0   0:00.94
   1001 xrdp      20   0    9276    592      0 S   0,0   0,0   0:00.00
   1004 colord    20   0  392568   8128   4012 S   0,0   0,0   0:04.09
   1026 rabbitmq  20   0    2780    448    404 S   0,0   0,0   2:38.77
   1087 postgres  20   0  247764   2112   1852 S   0,0   0,0   2:10.91
   1110 www-data  20   0  197672     32      4 S   0,0   0,0   0:00.00
   1111 www-data  20   0  197672     32      4 S   0,0   0,0   0:00.00
   1112 www-data  20   0  198416     56      4 S   0,0   0,0   0:00.00
   1113 www-data  20   0  198416     60      4 S   0,0   0,0   0:00.00
   1114 postgres  20   0  217652    164    104 S   0,0   0,0   0:11.77
   1143 www-data  20   0  218852    420      4 S   0,0   0,0   0:00.00
   1145 www-data  20   0  218852    332      4 S   0,0   0,0   0:00.00
   1474 root      20   0  238864   1408    504 S   0,0   0,0   0:00.04
   1584 postgres  20   0  247764     84      8 S   0,0   0,0   0:02.37
   1585 postgres  20   0  247764     92      8 S   0,0   0,0   0:52.98
   1586 postgres  20   0  247764     84      8 S   0,0   0,0   0:56.75
   1587 postgres  20   0  248184   1764   1452 S   0,0   0,0   0:53.58
   1588 postgres  20   0  102356    576    336 S   0,0   0,0   0:55.17
   1589 postgres  20   0  248156    540    356 S   0,0   0,0   0:04.41
   1845 rabbitmq  20   0    3736     60      0 S   0,0   0,0   0:09.67
   1853 rtkit     21   1  154000   1104    788 S   0,0   0,0   1:16.79
   1854 rabbitmq  20   0    4044    136      0 S   0,0   0,0   0:42.23
   1870 postgres  20   0  217652    140     48 S   0,0   0,0   0:03.34
